,code,date,sp,wp
13,600239,2016-09-14,-1.468365553602812,-1.5049866115108237
0,600240,2016-09-01,-1.5236220472440944,-1.497285440049518
1,600240,2016-09-02,-1.500875656742557,-1.5087808118770332
2,600240,2016-09-03,-1.500875656742557,-1.5087808118770332
3,600240,2016-09-04,-1.500875656742557,-1.5087808118770332
4,600240,2016-09-05,-1.517825311942959,-1.4984445900171062
5,600240,2016-09-06,-1.4842105263157894,-1.497029271614359
6,600240,2016-09-07,-1.4802235597592432,-1.4865955415954044
7,600240,2016-09-08,-1.5060553633217992,-1.502776626915839
8,600240,2016-09-09,-1.5140350877192983,-1.497674589992529
9,600240,2016-09-10,-1.5140350877192983,-1.497674589992529
10,600240,2016-09-11,-1.5140350877192983,-1.497674589992529
11,600240,2016-09-12,-1.5205908683974934,-1.5261379807240572
12,600240,2016-09-13,-1.4629310344827586,-1.5056812321222668
13,600240,2016-09-14,-1.5078192875760208,-1.5049866115108237
0,600241,2016-09-01,-1.491253644314869,-1.497285440049518
1,600241,2016-09-02,-1.526946107784431,-1.5087808118770332
2,600241,2016-09-03,-1.526946107784431,-1.5087808118770332
3,600241,2016-09-04,-1.526946107784431,-1.5087808118770332
4,600241,2016-09-05,-1.4952324195470796,-1.4984445900171062
5,600241,2016-09-06,-1.5035885167464116,-1.497029271614359
6,600241,2016-09-07,-1.4766355140186915,-1.4865955415954044
7,600241,2016-09-08,-1.510029498525074,-1.502776626915839
8,600241,2016-09-09,-1.4889148191365227,-1.497674589992529
9,600241,2016-09-10,-1.4889148191365227,-1.497674589992529
10,600241,2016-09-11,-1.4889148191365227,-1.497674589992529
11,600241,2016-09-12,-1.5269622528460156,-1.5261379807240572
12,600241,2016-09-13,-1.5366459627329192,-1.5056812321222668
13,600241,2016-09-14,-1.498759305210918,-1.5049866115108237
